Filename,tableName,lengthTable,tableNameOnly,,lengthTable,tableNameOnly
LOADREG.sql,    dc.DC_E_BSS_BSC_RAW_15,15,DC_E_BSS_BSC_RAW,,15,DC_E_BSS_BSC_RAW
BSS.sql,    dc.DC_E_BSS_MSC_RAW_15,15,DC_E_BSS_MSC_RAW,,15,DC_E_BSS_MSC_RAW
C7SL1.sql,    dc.DC_E_CMN_STS_C7SL_RAW_15,15,DC_E_CMN_STS_C7SL_RAW,,15,DC_E_CMN_STS_C7SL_RAW
C7SL2.sql,    dc.DC_E_CMN_STS_C7SL_RAW_15,15,DC_E_CMN_STS_C7SL_RAW,,15,DC_E_CMN_STS_HS7SL1_RAW
HS7SL1.sql,    dc.DC_E_CMN_STS_HS7SL1_RAW_15,15,DC_E_CMN_STS_HS7SL1_RAW,,15,DC_E_CMN_STS_TOT_RAW
CP.sql,    dc.DC_E_CMN_STS_TOT_RAW_15,15,DC_E_CMN_STS_TOT_RAW,,17,DC_E_CNAXE_ASSOCIATION_RAW
LOAS.sql,    dc.DC_E_CMN_STS_TOT_RAW_15,15,DC_E_CMN_STS_TOT_RAW,,15,DC_E_CNAXE_BSC_RAW
SCTPLM.sql,    dc.DC_E_CMN_STS_TOT_RAW_15,15,DC_E_CMN_STS_TOT_RAW,,15,DC_E_CNAXE_CAPMGMT_RAW
M3ASSOC.sql,    dc.DC_E_CNAXE_ASSOCIATION_RAW_17,17,DC_E_CNAXE_ASSOCIATION_RAW,,15,DC_E_CNAXE_DESTINATION_RAW
M3DATA.sql,    dc.DC_E_CNAXE_ASSOCIATION_RAW_17,17,DC_E_CNAXE_ASSOCIATION_RAW,,7,DC_E_CNAXE_DTISTAT_RAW
M3PERFM.sql,    dc.DC_E_CNAXE_ASSOCIATION_RAW_17,17,DC_E_CNAXE_ASSOCIATION_RAW,,7,DC_E_CNAXE_ECPOOL_RAW
BSCSTAT.sql,    dc.DC_E_CNAXE_BSC_RAW_15,15,DC_E_CNAXE_BSC_RAW,,15,DC_E_CNAXE_HLR_RAW
CODERASGN.sql,    dc.DC_E_CNAXE_BSC_RAW_15,15,DC_E_CNAXE_BSC_RAW,,15,DC_E_CNAXE_HLRMAP_RAW
CAPMEAS.sql,    dc.DC_E_CNAXE_CAPMGMT_RAW_15,15,DC_E_CNAXE_CAPMGMT_RAW,,15,DC_E_CNAXE_LOCAREAST_RAW
M3DEST1.sql,    dc.DC_E_CNAXE_DESTINATION_RAW_15,15,DC_E_CNAXE_DESTINATION_RAW,,15,DC_E_CNAXE_LOSSROUTE_RAW
DTISTAT.sql,    dc.DC_E_CNAXE_DTISTAT_RAW_07,7,DC_E_CNAXE_DTISTAT_RAW,,15,DC_E_CNAXE_MAPSIGIWRK_RAW
ECPOOL.sql,    dc.DC_E_CNAXE_ECPOOL_RAW_07,7,DC_E_CNAXE_ECPOOL_RAW,,7,DC_E_CNAXE_MSC_RAW
HLRSUBS.sql,    dc.DC_E_CNAXE_HLR_RAW_15,15,DC_E_CNAXE_HLR_RAW,,7,DC_E_CNAXE_MSCOBJ_RAW
HLRMAP.sql,    dc.DC_E_CNAXE_HLRMAP_RAW_15,15,DC_E_CNAXE_HLRMAP_RAW,,15,DC_E_CNAXE_MTRAFTYPE_RAW
LOCAREAST.sql,    dc.DC_E_CNAXE_LOCAREAST_RAW_15,15,DC_E_CNAXE_LOCAREAST_RAW,,15,DC_E_CNAXE_NBRCELLST_RAW
LOSSROUTE.sql,    dc.DC_E_CNAXE_LOSSROUTE_RAW_15,15,DC_E_CNAXE_LOSSROUTE_RAW,,7,DC_E_CNAXE_RNCSTAT_RAW
MAPSIGIWRK.sql,    dc.DC_E_CNAXE_MAPSIGIWRK_RAW_15,15,DC_E_CNAXE_MAPSIGIWRK_RAW,,15,DC_E_CNAXE_SAE_RAW
CHASSIGNT.sql,    dc.DC_E_CNAXE_MSC_RAW_07,7,DC_E_CNAXE_MSC_RAW,,15,DC_E_CNAXE_SCTPTM_RAW
EQIDCON.sql,    dc.DC_E_CNAXE_MSC_RAW_07,7,DC_E_CNAXE_MSC_RAW,,15,DC_E_CNAXE_SERVICE_RAW
GUHNDOVER.sql,    dc.DC_E_CNAXE_MSC_RAW_07,7,DC_E_CNAXE_MSC_RAW,,15,DC_E_CNAXE_SGCSFB_RAW
HNDOVER.sql,    dc.DC_E_CNAXE_MSC_RAW_07,7,DC_E_CNAXE_MSC_RAW,,7,DC_E_CNAXE_STP_RAW
L3CCMSG.sql,    dc.DC_E_CNAXE_MSC_RAW_07,7,DC_E_CNAXE_MSC_RAW,,15,DC_E_CNAXE_TRUNKROUTE_RAW
OPTFEAT.sql,    dc.DC_E_CNAXE_MSC_RAW_07,7,DC_E_CNAXE_MSC_RAW,,7,DC_E_CNAXE_TSC_RAW
PAGING.sql,    dc.DC_E_CNAXE_MSC_RAW_07,7,DC_E_CNAXE_MSC_RAW,,15,DC_E_CNAXE_VLR_RAW
REGSERVICE.sql,    dc.DC_E_CNAXE_MSC_RAW_07,7,DC_E_CNAXE_MSC_RAW,,,
RELOC.sql,    dc.DC_E_CNAXE_MSC_RAW_07,7,DC_E_CNAXE_MSC_RAW,,,
SECHAND.sql,    dc.DC_E_CNAXE_MSC_RAW_07,7,DC_E_CNAXE_MSC_RAW,,,
UGHNDOVER.sql,    dc.DC_E_CNAXE_MSC_RAW_07,7,DC_E_CNAXE_MSC_RAW,,,
UMTSSEC.sql,    dc.DC_E_CNAXE_MSC_RAW_07,7,DC_E_CNAXE_MSC_RAW,,,
UPDLOCAT.sql,    dc.DC_E_CNAXE_MSC_RAW_07,7,DC_E_CNAXE_MSC_RAW,,,
UPDLOCAT2.sql,    dc.DC_E_CNAXE_MSC_RAW_07,7,DC_E_CNAXE_MSC_RAW,,,
NBRMSCGUH.sql,    dc.DC_E_CNAXE_MSCOBJ_RAW_07,7,DC_E_CNAXE_MSCOBJ_RAW,,,
NBRMSCLST.sql,    dc.DC_E_CNAXE_MSCOBJ_RAW_07,7,DC_E_CNAXE_MSCOBJ_RAW,,,
NBRMSCSRNS.sql,    dc.DC_E_CNAXE_MSCOBJ_RAW_07,7,DC_E_CNAXE_MSCOBJ_RAW,,,
NBRMSCUGHO.sql,    dc.DC_E_CNAXE_MSCOBJ_RAW_07,7,DC_E_CNAXE_MSCOBJ_RAW,,,
MTRAFTYPE.sql,    dc.DC_E_CNAXE_MTRAFTYPE_RAW_15,15,DC_E_CNAXE_MTRAFTYPE_RAW,,,
NBRCELLST.sql,    dc.DC_E_CNAXE_NBRCELLST_RAW_15,15,DC_E_CNAXE_NBRCELLST_RAW,,,
RNCSTAT.sql,    dc.DC_E_CNAXE_RNCSTAT_RAW_07,7,DC_E_CNAXE_RNCSTAT_RAW,,,
SAE.sql,    dc.DC_E_CNAXE_SAE_RAW_15,15,DC_E_CNAXE_SAE_RAW,,,
SCTPTM.sql,    dc.DC_E_CNAXE_SCTPTM_RAW_15,15,DC_E_CNAXE_SCTPTM_RAW,,,
SUPPLSERV.sql,    dc.DC_E_CNAXE_SERVICE_RAW_15,15,DC_E_CNAXE_SERVICE_RAW,,,
CSFB.sql,    dc.DC_E_CNAXE_SGCSFB_RAW_15,15,DC_E_CNAXE_SGCSFB_RAW,,,
SGSLA.sql,"	dcpublic.DC_E_CNAXE_SGCSFB_RAW_15",15,DC_E_CNAXE_SGCSFB_RAW,,,
LSCC.sql,    dc.DC_E_CNAXE_STP_RAW_07,7,DC_E_CNAXE_STP_RAW,,,
TRUNKROUTE.sql,    dc.DC_E_CNAXE_TRUNKROUTE_RAW_15,15,DC_E_CNAXE_TRUNKROUTE_RAW,,,
OOBTCSTAT.sql,"    	dc.DC_E_CNAXE_TSC_RAW_07",7,DC_E_CNAXE_TSC_RAW,,,
SHAM.sql,    dc.DC_E_CNAXE_TSC_RAW_07,7,DC_E_CNAXE_TSC_RAW,,,
VLR.sql,    dc.DC_E_CNAXE_VLR_RAW_15,15,DC_E_CNAXE_VLR_RAW,,,
